date,predicted_attendance
2025-01-01,1154
2025-01-02,972
2025-01-03,1160
2025-01-04,936
2025-01-05,1246
2025-01-06,1099
2025-01-07,1201
2025-01-08,1269
2025-01-09,1106
2025-01-10,1309
2025-01-11,1097
2025-01-12,1416
2025-01-13,1273
2025-01-14,1376
2025-01-15,1439
2025-01-16,1267
2025-01-17,1457
2025-01-18,1229
2025-01-19,1527
2025-01-20,1360
2025-01-21,1435
2025-01-22,1470
2025-01-23,1267
2025-01-24,1425
2025-01-25,1165
2025-01-26,1431
2025-01-27,1234
2025-01-28,1281
2025-01-29,1289
2025-01-30,1064
2025-01-31,1203
2025-02-01,928
2025-02-02,1185
2025-02-03,981
2025-02-04,1028
2025-02-05,1040
2025-02-06,824
2025-02-07,978
2025-02-08,721
2025-02-09,999
2025-02-10,822
2025-02-11,897
2025-02-12,941
2025-02-13,758
2025-02-14,946
2025-02-15,724
2025-02-16,1037
2025-02-17,894
2025-02-18,1002
2025-02-19,1076
2025-02-20,921
2025-02-21,1134
2025-02-22,933
2025-02-23,1265
2025-02-24,1135
2025-02-25,1253
2025-02-26,1334
2025-02-27,1181
2025-02-28,1392
2025-03-01,1186
2025-03-02,1509
2025-03-03,1367
2025-03-04,1471
2025-03-05,1534
2025-03-06,1362
2025-03-07,1552
2025-03-08,1325
2025-03-09,1625
2025-03-10,1461
2025-03-11,1542
2025-03-12,1583
2025-03-13,1390
2025-03-14,1561
2025-03-15,1314
2025-03-16,1597
2025-03-17,1418
2025-03-18,1485
2025-03-19,1515
2025-03-20,1312
2025-03-21,1474
2025-03-22,1221
2025-03-23,1499
2025-03-24,1316
2025-03-25,1381
2025-03-26,1409
2025-03-27,1206
2025-03-28,1368
2025-03-29,1116
2025-03-30,1395
2025-03-31,1214
